EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7,timestamp
2.0,-5.0,-2.0,-2.0,2.0,2.0,0.0,-2.0,1650823936064610.0
3.0,1.0,2.0,5.0,-7.0,0.0,0.0,3.0,1650823936064610.0
-2.0,-3.0,3.0,6.0,2.0,-2.0,-1.0,0.0,1650823936065598.0
-1.0,0.0,-1.0,-1.0,6.0,1.0,0.0,-1.0,1650823936065598.0
-3.0,0.0,-2.0,0.0,-1.0,-2.0,-2.0,-3.0,1650823936066594.0
-3.0,-4.0,-10.0,-10.0,-2.0,-1.0,-4.0,-3.0,1650823936066594.0
0.0,3.0,1.0,4.0,3.0,-13.0,4.0,0.0,1650823936067590.0
1.0,3.0,10.0,5.0,-10.0,-7.0,1.0,2.0,1650823936067590.0
-3.0,-1.0,-10.0,-3.0,1.0,6.0,2.0,0.0,1650823936073602.0
0.0,1.0,-3.0,-1.0,-4.0,1.0,0.0,0.0,1650823936073602.0
-2.0,-6.0,-11.0,-14.0,-4.0,8.0,-3.0,-1.0,1650823936077592.0
-1.0,8.0,3.0,4.0,2.0,-1.0,-1.0,-3.0,1650823936077592.0
2.0,0.0,10.0,4.0,-5.0,-6.0,-2.0,2.0,1650823936093543.0
-3.0,-3.0,3.0,-5.0,-4.0,-6.0,-2.0,-2.0,1650823936093543.0
0.0,-2.0,-3.0,4.0,-3.0,-1.0,-3.0,-2.0,1650823936102525.0
1.0,6.0,5.0,1.0,6.0,7.0,2.0,1.0,1650823936102525.0
-1.0,1.0,1.0,2.0,3.0,-1.0,-2.0,0.0,1650823936107484.0
-1.0,4.0,-1.0,-1.0,6.0,-4.0,0.0,-1.0,1650823936107484.0
0.0,1.0,4.0,2.0,-13.0,0.0,1.0,1.0,1650823936131654.0
2.0,-5.0,-6.0,-2.0,-1.0,-1.0,0.0,1.0,1650823936131654.0
0.0,-4.0,-1.0,-12.0,-4.0,-4.0,0.0,-2.0,1650823936171106.0
1.0,-1.0,1.0,-3.0,-2.0,0.0,-3.0,-2.0,1650823936171106.0
